,year,id,gu,pop,index,,평균,최소,최대,,id_popul,id_구,구,평균_유동인구_수,연도
328,2020,8,금천구,4129383,328,,,,,,,,,,
329,2020,8,금천구,4620595,329,,,,,,,,,,
330,2020,8,금천구,4615559,330,,,,,,,,,,
331,2020,8,금천구,1839629,331,,,,,,,,,,
332,2020,8,금천구,3787548,332,,,,,,,,,,
333,2020,8,금천구,1235965,333,,,,,,,,,,
334,2020,8,금천구,1488975,334,,,,,,,,,,
335,2020,8,금천구,3157731,335,,,,,,,,,,
336,2020,8,금천구,4523464,336,,,,,,,,,,
337,2020,8,금천구,3419073,337,,,,,,,,,,
338,2020,8,금천구,2498274,338,,,,,,,,,,
339,2020,8,금천구,4004607,339,,,,,,,,,,
340,2020,8,금천구,2306101,340,,,,,,,,,,
341,2020,8,금천구,1632869,341,,,,,,,,,,
342,2020,8,금천구,2036061,342,,,,,,,,,,
343,2020,8,금천구,4659320,343,,,,,,,,,,
344,2020,8,금천구,3127048,344,,,,,,,,,,
345,2020,8,금천구,4627655,345,,,,,,,,,,
346,2020,8,금천구,4510805,346,,,,,,,,,,
347,2020,8,금천구,3843950,347,,,,,,,,,,
348,2020,8,금천구,2166906,348,,,,,,,,,,
349,2020,8,금천구,3632519,349,,,,,,,,,,
350,2020,8,금천구,4538863,350,,,,,,,,,,
351,2020,8,금천구,3571493,351,,,,,,,,,,
352,2020,8,금천구,2658939,352,,,,,,,,,,
353,2020,8,금천구,597999,353,,,,,,,,,,
354,2020,8,금천구,2999443,354,,,,,,,,,,
355,2020,8,금천구,3189302,355,,,,,,,,,,
356,2020,8,금천구,2175078,356,,,,,,,,,,
357,2020,7,구로구,2172853,357,,,,,,,,,,
358,2020,7,구로구,3174230,358,,,,,,,,,,
359,2020,7,구로구,4065656,359,,,,,,,,,,
360,2020,7,구로구,3514969,360,,,,,,,,,,
361,2020,7,구로구,2188102,361,,,,,,,,,,
362,2020,7,구로구,2824995,362,,,,,,,,,,
363,2020,7,구로구,901340,363,,,,,,,,,,
364,2020,7,구로구,1870190,364,,,,,,,,,,
365,2020,7,구로구,2007854,365,,,,,,,,,,
366,2020,7,구로구,4094355,366,,,,,,,,,,
367,2020,7,구로구,3997946,367,,,,,,,,,,
368,2020,7,구로구,4308502,368,,,,,,,,,,
369,2020,7,구로구,5326682,369,,,,,,,,,,
370,2020,7,구로구,5350308,370,,,,,,,,,,
371,2020,7,구로구,2221990,371,,,,,,,,,,
372,2020,7,구로구,5178051,372,,,,,,,,,,
373,2020,7,구로구,4859317,373,,,,,,,,,,
374,2020,7,구로구,2157240,374,,,,,,,,,,
375,2020,7,구로구,3494557,375,,,,,,,,,,
376,2020,7,구로구,5067679,376,,,,,,,,,,
377,2020,7,구로구,3468897,377,,,,,,,,,,
378,2020,7,구로구,8192134,378,,,,,,,,,,
379,2020,7,구로구,5509445,379,,,,,,,,,,
380,2020,7,구로구,4137286,380,,,,,,,,,,
381,2020,7,구로구,3716909,381,,,,,,,,,,
382,2020,7,구로구,4206282,382,,,,,,,,,,
383,2020,7,구로구,4527790,383,,,,,,,,,,
384,2020,7,구로구,3603496,384,,,,,,,,,,
385,2020,7,구로구,3641064,385,,,,,,,,,,
386,2020,7,구로구,3126776,386,,,,,,,,,,
387,2020,7,구로구,4098886,387,,,,,,,,,,
388,2020,7,구로구,4565141,388,,,,,,,,,,
389,2020,7,구로구,3958305,389,,,,,,,,,,
390,2020,7,구로구,3183784,390,,,,,,,,,,
391,2020,7,구로구,3358471,391,,,,,,,,,,
392,2020,7,구로구,2920739,392,,,,,,,,,,
393,2020,7,구로구,3106228,393,,,,,,,,,,
